,property,value
569,yarn.log-aggregation.debug.filesize,104857600
570,yarn.log-aggregation-status.time-out.ms,600000
571,yarn.nodemanager.log.retain-seconds,10800
572,yarn.nodemanager.resource.memory.cgroups.swappiness,0
573,yarn.nodemanager.logaggregation.threadpool-size-max,100
574,yarn.nodemanager.resource.percentage-physical-cpu-limit,100
575,yarn.nodemanager.resource-monitor.interval-ms,3000
576,yarn.nodemanager.container-log-monitor.interval-ms,60000
577,yarn.nodemanager.container-log-monitor.dir-size-limit-bytes,1000000000
578,yarn.nodemanager.container-log-monitor.total-size-limit-bytes,10000000000
579,yarn.nodemanager.health-checker.timeout-ms,1200000
580,yarn.nodemanager.health-checker.interval-ms,600000
581,yarn.nodemanager.disk-health-checker.interval-ms,120000
582,yarn.nodemanager.disk-health-checker.min-free-space-per-disk-mb,0
583,yarn.nodemanager.disk-health-checker.min-free-space-per-disk-watermark-high-mb,0
584,yarn.nodemanager.linux-container-executor.cgroups.delete-delay-ms,20
585,yarn.nodemanager.runtime.linux.docker.userremapping-uid-threshold,1
586,yarn.nodemanager.runtime.linux.docker.userremapping-gid-threshold,1
587,yarn.nodemanager.runtime.linux.docker.stop.grace-period,10
588,yarn.nodemanager.runtime.linux.runc.layer-mounts-to-keep,100
589,yarn.nodemanager.runtime.linux.runc.layer-mounts-interval-secs,600
590,yarn.nodemanager.runtime.linux.runc.image-tag-to-manifest-plugin.cache-refresh-interval-secs,60
591,yarn.nodemanager.runtime.linux.runc.image-tag-to-manifest-plugin.num-manifests-to-cache,10
592,yarn.nodemanager.runtime.linux.runc.hdfs-manifest-to-resources-plugin.stat-cache-timeout-interval-secs,360
593,yarn.nodemanager.runtime.linux.runc.hdfs-manifest-to-resources-plugin.stat-cache-size,500
594,yarn.nodemanager.linux-container-executor.cgroups.delete-timeout-ms,1000
595,yarn.nodemanager.aux-services.manifest.reload-ms,0
596,yarn.nodemanager.sleep-delay-before-sigkill.ms,250
597,yarn.nodemanager.process-kill-wait.ms,5000
598,yarn.nodemanager.container-diagnostics-maximum-size,10000
599,yarn.nodemanager.container-retry-minimum-interval-ms,1000
600,yarn.client.nodemanager-client-async.thread-pool-max-size,500
601,yarn.client.nodemanager-connect.max-wait-ms,180000
602,yarn.client.nodemanager-connect.retry-interval-ms,10000
603,yarn.client.max-cached-nodemanagers-proxies,0
604,yarn.nodemanager.recovery.compaction-interval-secs,3600
605,yarn.nodemanager.container-metrics.unregister-delay-ms,10000
606,yarn.nodemanager.log.deletion-threads-count,4
607,yarn.resourcemanager.proxy.connection.timeout,60000
608,yarn.timeline-service.generic-application-history.max-applications,10000
609,yarn.timeline-service.ttl-ms,604800000
610,yarn.timeline-service.leveldb-timeline-store.ttl-interval-ms,300000
611,yarn.timeline-service.leveldb-timeline-store.read-cache-size,104857600
612,yarn.timeline-service.leveldb-timeline-store.start-time-read-cache-size,10000
613,yarn.timeline-service.leveldb-timeline-store.start-time-write-cache-size,10000
614,yarn.timeline-service.handler-thread-count,10
615,yarn.timeline-service.client.max-retries,30
616,yarn.timeline-service.client.retry-interval-ms,1000
617,yarn.timeline-service.client.drain-entities.timeout.ms,2000
618,yarn.timeline-service.entity-group-fs-store.scan-interval-seconds,60
619,yarn.timeline-service.entity-group-fs-store.cleaner-interval-seconds,3600
620,yarn.timeline-service.entity-group-fs-store.retain-seconds,604800
621,yarn.timeline-service.entity-group-fs-store.leveldb-cache-read-cache-size,10485760
622,yarn.timeline-service.entity-group-fs-store.app-cache-size,10
623,yarn.timeline-service.client.fd-flush-interval-secs,10
624,yarn.timeline-service.client.fd-clean-interval-secs,60
625,yarn.timeline-service.client.fd-retain-secs,300
626,yarn.timeline-service.client.internal-timers-ttl-secs,420
627,yarn.timeline-service.writer.flush-interval-seconds,60
628,yarn.timeline-service.writer.async.queue.capacity,100
629,yarn.timeline-service.app-collector.linger-period.ms,60000
630,yarn.timeline-service.timeline-client.number-of-async-entities-to-merge,10
631,yarn.timeline-service.hbase.coprocessor.app-final-value-retention-milliseconds,259200000
632,yarn.timeline-service.app-aggregation-interval-secs,15
633,yarn.timeline-service.flowname.max-size,0
634,yarn.sharedcache.nested-level,3
635,yarn.sharedcache.store.in-memory.staleness-period-mins,10080
636,yarn.sharedcache.store.in-memory.initial-delay-mins,10
637,yarn.sharedcache.store.in-memory.check-period-mins,720
638,yarn.sharedcache.admin.thread-count,1
639,yarn.sharedcache.cleaner.period-mins,1440
640,yarn.sharedcache.cleaner.initial-delay-mins,10
641,yarn.sharedcache.cleaner.resource-sleep-ms,0
642,yarn.sharedcache.uploader.server.thread-count,50
643,yarn.sharedcache.client-server.thread-count,50
644,yarn.sharedcache.nm.uploader.replication.factor,10
645,yarn.sharedcache.nm.uploader.thread-count,20
646,yarn.minicluster.yarn.nodemanager.resource.memory-mb,4096
647,yarn.nodemanager.node-labels.provider.fetch-interval-ms,600000
648,yarn.nodemanager.node-labels.resync-interval-ms,120000
649,yarn.nodemanager.node-labels.provider.fetch-timeout-ms,1200000
650,yarn.resourcemanager.node-labels.provider.fetch-interval-ms,1800000
651,yarn.nodemanager.node-attributes.provider.fetch-interval-ms,600000
652,yarn.nodemanager.node-attributes.provider.fetch-timeout-ms,1200000
653,yarn.nodemanager.node-attributes.resync-interval-ms,120000
654,yarn.resourcemanager.nodemanager-graceful-decommission-timeout-secs,3600
655,yarn.resourcemanager.decommissioning-nodes-watcher.poll-interval-secs,20
656,yarn.federation.cache-ttl.secs,300
657,yarn.client.application-client-protocol.poll-interval-ms,200
658,yarn.nodemanager.log-aggregation.roll-monitoring-interval-seconds.min,3600
659,yarn.nodemanager.log-aggregation.num-log-files-per-app,30
660,yarn.cluster.max-application-priority,0
661,yarn.nodemanager.amrmproxy.client.thread-count,25
662,yarn.resourcemanager.opportunistic-container-allocation.nodes-used,10
663,yarn.resourcemanager.nm-container-queuing.sorting-nodes-interval-ms,1000
664,yarn.resourcemanager.nm-container-queuing.min-queue-length,5
665,yarn.resourcemanager.nm-container-queuing.max-queue-length,15
666,yarn.resourcemanager.nm-container-queuing.min-queue-wait-time-ms,10
667,yarn.resourcemanager.nm-container-queuing.max-queue-wait-time-ms,100
668,yarn.nodemanager.container.stderr.tail.bytes,4096
669,yarn.resourcemanager.node-removal-untracked.timeout-ms,60000
670,yarn.resourcemanager.application-timeouts.monitor.interval-ms,3000
671,yarn.app.attempt.diagnostics.limit.kc,64
672,yarn.router.interceptor.user.threadpool-size,5
673,yarn.router.pipeline.cache-max-size,25
674,yarn.scheduler.configuration.leveldb-store.compaction-interval-secs,86400
675,yarn.scheduler.configuration.store.max-logs,1000
676,yarn.scheduler.configuration.max.version,100
677,yarn.nodemanager.elastic-memory-control.timeout-sec,5
678,yarn.resourcemanager.activities-manager.cleanup-interval-ms,5000
679,yarn.resourcemanager.activities-manager.scheduler-activities.ttl-ms,600000
680,yarn.resourcemanager.activities-manager.app-activities.ttl-ms,600000
681,yarn.resourcemanager.activities-manager.app-activities.max-queue-length,100
682,yarn.resourcemanager.submission-preprocessor.file-refresh-interval-ms,60000
683,yarn.resourcemanager.application.max-tags,10
684,yarn.resourcemanager.application.max-tag.length,100
